Date,ONI,cocoa_price,coffee_price,gold_price,soybean_price,wheat_price,natural_gas_price,us_interest_rate,usd_index
2006-04-30,-0.45,1501.0,107.19999694824219,651.7999877929688,587.25,346.25,6.554999828338623,4.650000095367432,86.11000061035156
2006-05-31,-0.19,1473.0,98.94999694824219,642.5,579.5,393.5,6.383999824523926,4.715000152587891,84.72000122070312
2006-06-30,-0.05,1646.0,99.5,613.5,594.75,371.5,6.085000038146973,4.860000133514404,85.22000122070312
2006-07-31,0.12,1486.0,99.3499984741211,634.2000122070312,579.5,397.5,8.211000442504883,4.934999942779541,85.30000305175781
2006-08-31,0.33,1420.0,104.0,625.9000244140625,542.25,404.0,6.047999858856201,4.90500020980835,85.05000305175781
2006-09-30,0.54,1472.0,107.6500015258789,598.5999755859375,547.5,443.0,5.619999885559082,4.760000228881836,85.97000122070312
2006-11-30,0.88,1483.0,119.69999694824219,646.9000244140625,685.5,502.0,8.843999862670898,4.889999866485596,82.91999816894531
2006-12-31,0.88,1635.0,126.19999694824219,635.2000122070312,683.5,501.0,6.298999786376953,4.885000228881836,83.72000122070312
2007-01-31,0.62,1617.0,117.6500015258789,652.0,719.5,467.5,7.666999816894531,4.974999904632568,84.61000061035156
2007-02-28,0.19,1720.0,117.69999694824219,669.4000244140625,773.25,474.5,7.300000190734863,4.994999885559082,83.56999969482422
2007-03-31,-0.12,1953.0,109.25,663.0,761.25,438.0,7.730000019073486,4.894999980926514,82.93000030517578
2007-05-31,-0.34,1883.0,111.9000015258789,661.0,806.25,517.0,7.934999942779541,4.590000152587891,82.30000305175781
2007-06-30,-0.41,2054.0,111.0,648.0999755859375,850.0,582.0,6.7729997634887695,4.670000076293945,81.91999816894531
2007-08-31,-0.77,1868.0,112.6500015258789,673.0,868.0,767.0,5.4679999351501465,3.990000009536743,80.79000091552734
2007-09-30,-1.05,2036.0,128.64999389648438,742.7999877929688,991.25,939.0,6.869999885559082,3.700000047683716,77.72000122070312
2007-10-31,-1.38,1945.0,121.3499984741211,792.0,1010.0,808.0,8.329999923706055,3.819999933242798,76.4800033569336
2007-11-30,-1.57,1978.0,125.94999694824219,782.2000122070312,1080.0,867.0,7.302000045776367,3.069999933242798,76.1500015258789
2007-12-31,-1.72,2035.0,136.1999969482422,834.9000244140625,1199.0,885.0,7.482999801635742,3.140000104904175,76.69999694824219
2008-01-31,-1.76,2326.0,138.14999389648438,922.7000122070312,1274.5,929.5,8.074000358581543,1.8700000047683716,75.18000030517578
2008-02-29,-1.61,2754.0,164.60000610351562,972.0999755859375,1522.0,1073.0,9.366000175476074,1.784999966621399,73.70999908447266
2008-03-31,-1.37,2321.0,127.4000015258789,916.2000122070312,1197.25,929.0,10.10099983215332,1.274999976158142,71.80000305175781
2008-04-30,-1.05,2882.0,134.5500030517578,862.7999877929688,1301.75,787.25,10.843000411987305,1.340000033378601,72.51000213623047
2008-05-31,-0.85,2723.0,133.89999389648438,887.2999877929688,1363.5,761.5,11.70300006866455,1.850000023841858,72.87999725341797
2008-07-31,-0.33,2858.0,139.35000610351562,913.9000244140625,1395.75,783.75,9.119000434875488,1.6349999904632568,73.2300033569336
2008-08-31,-0.2,2864.0,141.89999389648438,829.2999877929688,1332.0,779.25,7.942999839782715,1.690000057220459,77.37999725341797
2008-09-30,-0.25,2558.0,130.4499969482422,874.2000122070312,1045.0,680.0,7.438000202178955,0.8999999761581421,79.44999694824219
2008-10-31,-0.36,2053.0,113.0,716.7999877929688,925.25,536.25,6.7829999923706055,0.4350000023841858,85.62999725341797
2008-11-30,-0.57,2372.0,114.0999984741211,816.2000122070312,883.0,542.5,6.510000228881836,0.019999999552965164,86.5199966430664
2008-12-31,-0.79,2665.0,112.05000305175781,883.5999755859375,972.25,610.75,5.622000217437744,0.11500000208616257,81.30999755859375
